Código*,Componente Curricular*,Etapa*,Série*,Unidade Temática,Objetivo/habilidade*
EF01LP01,Língua Portuguesa,Ensino Fundamental,1º ano,Leitura/escuta,"Reconhecer que textos são lidos e escritos da esquerda para a direita."
EF02MA01,Matemática,Ensino Fundamental,2º ano,Números,"Comparar e ordenar números naturais (até a ordem de centenas)."
EF03CI01,Ciências,Ensino Fundamental,3º ano,Matéria e energia,"Produzir diferentes sons a partir da vibração de variados objetos."
EF04GE01,Geografia,Ensino Fundamental,4º ano,O sujeito e seu lugar no mundo,"Selecionar, em seus lugares de vivência, referências espaciais de localização."
EF05HI01,História,Ensino Fundamental,5º ano,Povos e culturas,"Identificar os processos de formação das culturas e dos povos."
