Código*,Campo de Experiência*,Etapa*,Série*,Objetivo/habilidade*
EI03EO01,"O eu, o outro e o nós",Educação Infantil,"Pré-escola - 4 a 5 anos","Demonstrar empatia pelos outros, percebendo que as pessoas têm diferentes sentimentos."
EI02CG01,"Corpo, gestos e movimentos",Educação Infantil,"Creche - 1 ano e 7 meses a 3 anos e 11 meses","Apropriar-se de gestos e movimentos de sua cultura."
EI01TS01,"Traços, sons, cores e formas",Educação Infantil,"Creche - 0 a 1 ano e 6 meses","Explorar sons produzidos com o próprio corpo e com objetos do ambiente."
EI02EF01,"Escuta, fala, pensamento e imaginação",Educação Infantil,"Creche - 1 ano e 7 meses a 3 anos e 11 meses","Dialogar com crianças e adultos, expressando seus desejos e necessidades."
EI03ET01,"Espaços, tempos, quantidades, relações e transformações",Educação Infantil,"Pré-escola - 4 a 5 anos","Estabelecer relações de comparação entre objetos."
